Verb,Pronunciation,SinhalaMeanings,Usage
accept,/əkˈsept/,"බාරගන්නවා,
එකඟවෙනවා",~ someone/something (as something)
accompany,/əˈkʌmpəni/,"එක්ව යනවා,
එක්ව පවතිනවා","~ someone
~ something"
accuse,/əˈkjuːz/,චෝදනා කරනවා,~ someone (of something)
ache,/eɪk/,රිදෙනවා,~ from something
achieve,/əˈtʃiːv/,මුදුන්පත් කරගන්නවා,~ something
acknowledge,/əkˈnɒlɪdʒ/,"පිළිගන්නවා,
ප්‍රසිද්ධියේ කෘතඥතාවය පළකරනවා","~ something
~ that..."
acquire,/əˈkwaɪə(r)/,උත්සාහයෙන් ලබාගන්නවා,~ something
act,/ækt/,"ක්‍රියාකරනවා,
හැසිරෙනවා,
රඟපානවා","~ (as …)
~ (+ noun/adj.)
~ (something)"
add,/æd/,එකතුකරනවා,~ something (to something)
admire,/ədˈmaɪə(r)/,වර්ණනා කරනවා,~ someone/ something (for doing something)
admit,/ədˈmɪt/,"(කරපු දෙයක්) පිළිගන්නවා,
(කෙනක්ව) දෙයකට ඇතුලත් කරනවා","~ something
~ to something
~ to doing something
~ that...
~ someone to/into something"
advertise,/ˈædvətaɪz/,"දැන්වීම් පළකරනවා,
ප්‍රසිද්ධියට පත් කරනවා","~ something
~ for someone/something"
advise,/ədˈvaɪz/,අවවාද කරනවා,"~ someone/something
~ someone to do something
~ doing something
~ on/about"
affect,/əˈfekt/,බලපානවා,~ someone/something
afford,/əˈfɔːd/,"ඔරොත්තු දෙනවා,
දරාගන්නවා","~ something
~ to do something
~ something to do something"
agree,/əˈɡriː/,එකඟ වෙනවා,~ with someone/something (on/about something)
aim,/eɪm/,"ඉලක්ක කරනවා,
උත්සාහ කරනවා","~ (for/at someone/something)
~ to do something
~ at doing something"
allow,/əˈlaʊ/,යම් දෙයක් කරන්න ඉඩ දෙනවා,"~ something
~ someone to do something"
alter,/ˈɔːltə(r)/,"වෙනස් වෙනවා,
වෙනස් කරනවා",~ someone/something
amuse,/əˈmjuːz/,විනෝදයට පත් කරනවා,~ someone
analyse,/ˈænəlaɪz/,විශ්ලේෂණය කරනවා,~ something
anger,/ˈæŋɡə(r)/,කෙනෙක්ව තරහ ගස්සනවා,~ someone
announce,/əˈnaʊns/,නිවේදනය කරනවා,"~ something (to someone)
~ that..."
annoy,/əˈnɔɪ/,තරහ ගස්සනවා,~ someone (to do something)
answer,/ˈɑːnsə(r)/,උත්තර දෙනවා,"~ something
~ someone
~ someone something"
anticipate,/ænˈtɪsɪpeɪt/,"කලින් සිතා යමක් කරනවා,
අපේක්ෂා කරනවා,
බලාපොරොත්තු වෙනවා","~ something
~ (something) doing something
~ that...
~ wh-"
apologize,/əˈpɒlədʒaɪz/,සමාව ඉල්ලනවා,~ (to someone) (for something)
appear,/əˈpɪə(r)/,"මතුවෙනවා,
පෙනීසිටිනවා","~ (+ adj.)
~ to (be/ have …)"
applaud,/əˈplɔːd/,"ප්‍රීති ඝෝෂා කරනවා,
අත්පොලොසන් දෙනවා,
ප්‍රශංසා කරනවා","~ someone
~ something"
apply,/əˈplaɪ/,"යමක් සඳහා ඉල්ලුම් කරනවා,
ආලේප කරනවා","~ for something
~ something"
appoint,/əˈpɔɪnt/,පත් කරනවා,~ someone (as something) (to something)
appreciate,/əˈpriːʃieɪt/,අගය කරනවා,"~ someone/something
~ doing something
~ someone doing something
~ that..."
approach,/əˈprəʊtʃ/,"කිට්ටුවට එනවා,
යෝජනාවක් කරනවා","~ someone/something
~ someone (for/about something)"
approve,/əˈpruːv/,අනුමත කරනවා,"~ something
~ of (someone) doing something"
argue,/ˈɑːɡjuː/,වාද කරනවා,~ (with someone) (about/over something)
arrange,/əˈreɪndʒ/,"පිළිවෙලකට සකස් කරනවා,
සැලසුම් කරනවා","~ something
~ with someone (about something)"
arrest,/əˈrest/,අත්අඩංගුවට ගන්නවා,~ someone (for something)
arrive,/əˈraɪv/,"පැමිණෙනවා,
ළඟාවෙනවා",~ adv./prep.
ask,/ɑːsk/,"විමසනවා,
ඉල්ලනවා","~ someone/something (about someone/something)
~ someone something
~ wh-
~ for something"
assist,/əˈsɪst/,උදවු කරනවා,~ (someone) (in/with something)
associate,/əˈsəʊʃieɪt/,"ආශ්‍රය කරනවා,
හිතින් සම්බන්ධ කරගන්නවා","~ with something
~ someone/something"
assume,/əˈsjuːm/,උපකල්පනය කරනවා,"~ (that)
~ someone/something"
attach,/əˈtætʃ/,අමුණනවා,~ something to something
attack,/əˈtæk/,පහර දෙනවා,~ someone/something (with something)
attempt,/əˈtempt/,උත්සාහ කරනවා,"~ to do something
~ something"
attend,/əˈtend/,"සහභාගී වෙනවා,
අවධානය යොමුකරනවා","~ something
~ to someone/something"
attract,/əˈtrækt/,ආකර්ෂණය කරගන්නවා,"~ someone/something
~ someone/something to someone/something"
avoid,/əˈvɔɪd/,මගහරිනවා,"~ someone/something
~ doing something"
award,/əˈwɔːd/,ප්‍රදානය කරනවා,"~ something (to someone)
~ (someone) something"
