Verb,Pronunciation,SinhalaMeanings,Usage
bake,/beɪk/,පෝරණුවක පුළුස්සනවා,"~ something
~ someone something"
balance,/ˈbæləns/,"තුලනය කරනවා,
තුලිතව සිටිනවා","~ something
~ something (on something)
~ (on something)"
ban,/bæn/,තහනම් කරනවා,"~ something
~ someone from something
~ someone from doing something"
bat,/bæt/,ක්‍රිකට් වැනි ක්‍රීඩාවක පිත්තෙන් පහර දෙනවා,~ (adv./prep.)
bathe,/beɪð/,"නානවා,
නාවනවා","~ (someone)
~ something"
bear*,/beə(r)/,"දරා සිටිනවා,
(ඉවසා) දරා ගන්නවා",~ something
beat*,/biːt/,"ගහනවා,
පරදවනවා","~ someone/something
~ someone at something"
become*,/bɪˈkʌm/,යමක් හෝ යම් ආකාරයක් බවට පත් වෙනවා,~ (+ noun/adj.)
beg,/beɡ/,"සිඟනවා,
අයදිනවා","~ (for something)
~ someone
~ someone to do something"
begin*,/bɪˈɡɪn/,පටන්ගන්නවා.,"~ (something)
~ to do something"
behave,/bɪˈheɪv/,හැසිරෙනවා,~ adv./prep.
believe,/bɪˈliːv/,"විශ්වාස කරනවා,
අදහනවා",~ someone/something
belong,/bɪˈlɒŋ/,අයිතියි,~ to someone/something
bend*,/bend/,"නැවෙනවා,
නවනවා","~ adv./prep.
~ something (adv./prep.)"
benefit,/ˈbenɪfɪt/,"වාසි සලසනවා,
වාසි ලබනවා","~ someone
~ (from something)"
bet*,/bet/,ඔට්ටු අල්ලනවා,~ something (on someone/something)
betray,/bɪˈtreɪ/,පාවා දෙනවා,~ someone/something (to someone)
bite*,/baɪt/,හපනවා,"~ into something
~ something/someone"
blame,/bleɪm/,"බනිනවා,
දොස් පවරනවා",~ someone/something (for something)
bleed*,/bliːd/,ලේ යනවා/ගලනවා/හලනවා,
blend,/blend/,"මිශ්‍ර වෙනවා,
මිශ්‍ර කරනවා",~ (something) (with something)
bless,/bles/,ආශිර්වාද කරනවා,~ someone/something
blind,/blaɪnd/,"අන්ධ කරනවා,
රවටනවා",~ someone/something
blink,/blɪŋk/,ඇසිපිය ගසනවා,~ (something)
blow*,/bləʊ/,"(සුළං) හමනවා,
(සුළං) පිඹිනවා",~ adv./prep.
blush,/blʌʃ/,ලජ්ජාවෙන් මුහුණ රතු වෙනවා,~ (with something) (at something)
boast,/bəʊst/,පුරසාරම් දොඩනවා,"~ of/abou something
~ that..."
boil,/bɔɪl/,"තම්බනවා,
(වතුර) නටවනවා",~ something
book,/bʊk/,කලින් වෙන් කරගන්නවා,~ something
borrow,/ˈbɒrəʊ/,ණයට ගන්නවා,~ something (from someone)
bother,/ˈbɒðə(r)/,"කරදර කරනවා,
කරදර වෙනවා","~ (someone)
~ to do something
~ doing something"
bounce,/baʊns/,"පොළා පනිනවා,
පොළා පනින්නට සලස්වනවා","~ off something
~ something (against/off something)"
bow,/baʊ/,හිස නමා ආචාර කරනවා,~ (to someone/something)
brake,/breɪk/,තිරිංග තද කරනවා,~ (something)
break*,/breɪk/,"කැඩෙනවා,
කඩනවා","~ (something)
~ adv./prep."
breathe,/briːð/,"හුස්ම ගන්නවා,
ශ්වසනය කරනවා",~ (something)
bring*,/brɪŋ/,"ගේනවා,
අරගෙන එනවා","~ someone/something
~ someone something"
brush,/brʌʃ/,"බුරුසුවකින් අතුල්ලනවා,
යන්තමින් ඇතිල්ලෙනවා","~ something
~ against something"
build*,/bɪld/,ගොඩනගනවා,"~ something
~ someone something"
bump,/bʌmp/,"යමක වදිනවා,
වද්ද ගන්නවා","~ something
~ into someone/something"
burn**,/bɜːn/,"ගිනි තියනවා,
පුළුස්සනවා,
පිළිස්සෙනවා",~ (someone/something)
burst*,/bɜːst/,පීඩනය නිසා පුපුරනවා,~ (something)
bury,/ˈberi/,"වළලනවා,
යටපත් කරනවා",~ someone/something
buy*,/baɪ/,මිලදී ගන්නවා,"~ something (for someone)
~ (someone) something (from …) (for something)"
