Verb,Pronunciation,SinhalaMeanings,Usage
dab,/dæb/,තවනවා,~ (at) something (with something)
damage,/ˈdæmɪdʒ/,"හානි කරනවා,
හානි වෙනවා",~ (to someone/something)
damp,/dæmp/,තෙත් කරනවා,~ something
dance,/dɑːns/,නටනවා,~ (something)
dare,/deə(r)/,(යමක් කරන්නට) නිර්භය වෙනවා,~ (to) do something
dash,/dæʃ/,කලබලෙන් දුවනවා,~ (adv./prep.)
dawn,/dɔːn/,දවසක්/කාලයක් උදාවෙනවා,
deafen,/ˈdefn/,කන් බිහිරි කරවනවා,~ someone
deal*,/diːl/,"ගනුදෙනු කරනවා,
යමක් ගැන සාකච්ඡා කරනවා,
(කාඩ්) බෙදා දෙනවා",~ (something)
decay,/dɪˈkeɪ/,"දිරාපත් වෙනවා,
ක්ෂය වෙනවා",
deceive,/dɪˈsiːv/,"රවට්ටනවා,
මුළා කරනවා",~ someone
decide,/dɪˈsaɪd/,තීරණය කරනවා,"~ something
~ between A and B
~ that...
~ wh-"
decipher,/dɪˈsaɪfə(r)/,කියවන්නට අපහසු යමක් කියවා තේරුම්ගන්නවා,~ something
declare,/dɪˈkleə(r)/,"අවධාරණය කර සිටිනවා,
විවෘතව ප්‍රකාශ කරනවා","~ something
~ that..."
decorate,/ˈdekəreɪt/,සරසනවා,~ something (with something)
decrease,/dɪˈkriːs/,ප්‍රමාණයෙන් අඩු වෙනවා,"~ something
~ (from something) (to something)
~ by"
defeat,/dɪˈfiːt/,"පරාජය කරනවා,
ව්‍යර්ථ කරනවා",~ someone/something
defend,/dɪˈfend/,පහරකින් ආරක්ෂා කරනවා,~ (someone/something) (from/against someone/something)
define,/dɪˈfaɪn/,"අර්ථ දක්වනවා,
විදහා පානවා","~ something (as something)
~ wh-"
deflate,/ˌdiːˈfleɪt/,"හුළං අරිනවා,
හුළං බහිනවා",~ (something)
deform,/dɪˈfɔːm/,ස්වභාවික හැඩය වෙනස් කරනවා/වෙනවා,~ (something)
defrost,/ˌdiːˈfrɒst/,හිමාහරණය කරනවා,~ (something)
defuse,/ˌdiːˈfjuːz/,නිෂ්ක්‍රීය කරනවා,~ something
defy,/dɪˈfaɪ/,(නීතියකට/විශ්වාසයකට) පටහැනිව යනවා,~ someone/something
degenerate,/dɪˈdʒenəreɪt/,පිරිහෙනවා,~ (into something)
degrade,/dɪˈɡreɪd/,තත්වය/ගුණය පහත හෙලනවා,~ (someone/something)
dehydrate,/diːˈhaɪdreɪt/,විජලනය වෙනවා/කරනවා,~ (someone/something)
delay,/dɪˈleɪ/,පරක්කු කරනවා,~ someone/something
delete,/dɪˈliːt/,ලියු/මුද්‍රිත/පටිගත යමක් ඉවත් කර හරිනවා,~ something (from something)
delight,/dɪˈlaɪt/,සතුටු කරනවා,~ someone
deliver,/dɪˈlɪvə(r)/,"(දෙයක්) බෙදා හරිනවා,
(කථාවක්) පවත්වනවා",~ something
demand,/dɪˈmɑːnd/,තරයේ ඉල්ලා සිටිනවා,"~ something
~ to do something
~ that..."
demonstrate,/ˈdemənstreɪt/,විද්‍යාමාන කර දක්වනවා/පෙන්වනවා,"~ something (to someone)
~ that...
~ wh-"
deny,/dɪˈnaɪ/,(යමක්) අසත්‍ය බව ප්‍රකාශ කරනවා,"~ something
~ (that)"
depend,/dɪˈpend/,"කෙනෙක්/යමක් මත රඳා පවතිනවා,
යැපෙනවා",~ on someone/something
describe,/dɪˈskraɪb/,විස්තර කරනවා,"~ someone/something
~ wh-"
desert,/dɪˈzɜːt/,අත්හැර දමා යනවා,~ someone/something
deserve,/dɪˈzɜːv/,යමක් ලැබීමට සුදුසු වෙනවා,~ something
design,/dɪˈzaɪn/,සැලසුම් කරනවා,~ something (for someone/something)
destroy,/dɪˈstrɔɪ/,විනාශ කරනවා,~ someone/something
detach,/dɪˈtætʃ/,යමකින් තවත් යමක් ගලවනවා,~ something (from something)
detain,/dɪˈteɪn/,රඳවා තබා ගන්නවා,~ someone
detect,/dɪˈtekt/,යමක් ඇති බව දැනගන්නවා,~ something
determine,/dɪˈtɜːmɪn/,"නිවැරදිව තහවුරු කරගන්නවා,
තීරණය කරනවා","~ something
~ that...
~ wh-"
develop,/dɪˈveləp/,"සංවර්ධනය වෙනවා,
සංවර්ධනය කරනවා",~ (something)
disable,/dɪsˈeɪbl,"(යමක්) ක්‍රියා විරහිත කරනවා,
(කෙනෙක්ව) ආබාධිත කරනවා","~ something
~ someone"
die,/daɪ/,"මැරෙනවා,
අක්‍රිය වෙනවා,
දුබල වෙනවා","~ (of/from something)
~ (for something)
~ something"
dig*,/dɪɡ/,"පොළොව හාරනවා,
පොළොව කොටනවා","~ (for something)
~ something"
digest,/daɪˈdʒest/,(අහාර) ජීර්ණය වෙනවා/කරනවා,~ (something)
direct,/dəˈrekt/,"යොමු කරනවා,
මෙහෙයවනවා",~ someone/something (at/to/against someone/something)
disagree,/ˌdɪsəˈɡriː/,එකඟ නොවෙනවා,~ (with someone) (on/about/over something)
disappear,/ˌdɪsəˈpɪə(r)/,"අතුරුදන් වෙනවා,
නොපෙනී යනවා",~ (adv./prep.)
disappoint,/ˌdɪsəˈpɔɪnt/,(බලාපොරොත්තු කඩකරමින්) කනස්සල්ලට පත් කරනවා,~ (someone/something)
disapprove,/ˌdɪsəˈpruːv/,"අකමැත්ත පළ කරනවා,
අනුමත නොකරනවා","~ something
~ of someone/something"
disarm,/dɪsˈɑːm/,නිරායුධ කරනවා,~ someone
discard,/dɪsˈkɑːd/,ඉවත දමනවා,~ (someone/something)
discharge,/dɪsˈtʃɑːdʒ/,මුදා හරිනවා,"~ someone (from something)
~ something"
discipline,/ˈdɪsəplɪn/,(දඬුවම් කර) හික්මවනවා,~ someone (for something)
disclose,/dɪsˈkləʊz/,එළිදරව් කරනවා,"~ something (to someone)
~ that...
~ wh-"
disconnect,/ˌdɪskəˈnekt/,විසන්ධි කරනවා,"~ something (from something)
~ someone/something"
discover,/dɪˈskʌvə(r)/,අනාවරණය කරගන්නවා,~ something
discuss,/dɪˈskʌs/,සාකච්ඡා කරනවා,"~ wh-
~ something
~ something with someone"
disfigure,/dɪsˈfɪɡə(r)/,විරූපී කරනවා,~ someone/something
disgrace,/dɪsˈɡreɪs/,අපකීර්තියට පත්කරනවා,~ someone/something
disguise,/dɪsˈɡaɪz/,බොරු වෙස් ගන්වනවා,~ someone (as something)
disgust,/dɪsˈɡʌst/,හිතේ පිළිකුල ඇති කරවනවා,~ someone
dishonour,/dɪsˈɒnə(r)/,"අගෞරව කරනවා,
නින්දා කරනවා",~ someone/something
disinfect,/ˌdɪsɪnˈfekt/,විෂබීජ නැති කරනවා,~ something
dislike,/dɪsˈlaɪk/,අප්‍රිය කරනවා,~ someone/something
disobey,/ˌdɪsəˈbeɪ/,"අකීකරු වෙනවා,
අණ නොපිළිපදිනවා",~ (someone/something)
disown,/dɪsˈəʊn/,අයිතිය ප්‍රතික්ෂේප කරනවා,~ someone/something
display,/dɪˈspleɪ/,"ප්‍රදර්ශනය කරනවා,
පෙනෙන්නට සලස්වනවා",~ something (to someone)
disprove,/ˌdɪsˈpruːv/,"අසත්‍ය බව ඔප්පු කරනවා,
නිෂ්ප්‍රභා කරනවා",~ something
dispute,/dɪˈspjuːt/,තර්ක කරනවා,"~ something
~ that...
~ wh-"
disqualify,/dɪsˈkwɒlɪfaɪ/,තරඟයකට සහභාගීවීම අහිමි කරනවා,~ someone/something (from something)
disregard,/ˌdɪsrɪˈɡɑːd/,නොසලකා හරිනවා,~ something
disrespect,/ˌdɪsrɪˈspekt/,නිගරු කරනවා,~ someone/something
disrupt,/dɪsˈrʌpt/,කඩා කප්පල් කරනවා,~ something
dissect,/daɪˈsekt/,(දේහයක්) අධ්‍යනය කරන්නට කැබලි කපනවා,~ something
dissolve,/dɪˈzɒlv/,"දිය වෙනවා,
දිය කරනවා",~ (something) (in something)
distil,/dɪˈstɪl/,ආසවනය මගින් පෙරා ගන්නවා,~ something (from something)
distinguish,/dɪˈstɪŋɡwɪʃ/,වෙන්කොට හඳුනාගන්නවා,"~ A from B
~ between A and B"
distort,/dɪˈstɔːt/,විකෘති කරනවා,~ something
distract,/dɪˈstrækt/,අවධානය වෙනතකට හරවනවා,~ someone (from something)
distribute,/dɪˈstrɪbjuːt/,බෙදාහරිනවා,~ something (to/among someone)
disturb,/dɪˈstɜːb/,බාධා කරනවා,~ someone/something
dive,/daɪv/,කිමිදෙනවා,~ (into something)
diverge,/daɪˈvɜːdʒ/,"විහිදී යනවා,
වෙනස් මගක් ගන්නවා",~ from something
divide,/dɪˈvaɪd/,"කොටස් කරනවා,
බෙදා දෙනවා","~ something (into something)
~ something between A and B"
divorce,/dɪˈvɔːs/,"දික්කසාද වෙනවා,
දික්කසාද කරනවා",~ (someone)
divulge,/daɪˈvʌldʒ/,රහසිගතව තිබිය යුතු යමක් හෙළි කරනවා,~ something to someone
dominate,/ˈdɒmɪneɪt/,"ආධිපත්‍යය පවත්වනවා,
පාලනය කරනවා,
කැපී පෙනෙනවා",~ (someone/something)
