Verb,Pronunciation,SinhalaMeanings,Usage
face,/feɪs/,"මුහුණ දෙනවා,
මුහුණලා සිටිනවා/තිබෙනවා",~ someone/something
fade,/feɪd/,"දුර්වර්ණ වෙලා යනවා,
මැකී යනවා,
ක්‍රමයෙන් නොපෙනී/නොඇසී යනවා","~ (something) (from something)
~ (away) (to/into something)"
fail,/feɪl/,"අසමත් වෙනවා,
අසාර්ථක වෙනවා,
දුර්වල වෙනවා","~ (something)
~ in something
~ to do something
~ someone"
faint,/feɪnt/,ක්ලාන්ත වෙනවා,
fall*,/fɔːl/,වැටෙනවා,~ (adv./prep.)
fancy,/ˈfænsi/,කැමැත්තක් හිතෙනවා,"~ something
~ doing something"
fasten,/ˈfɑːsn/,"තදින් බඳිනවා,
වසා අගුල්ලනවා",~ something (up)
fear,/fɪə(r)/,බය වෙනවා,"~ someone/something
~ to do something
~ doing something"
feature,/ˈfiːtʃə(r)/,"විදහා දක්වනවා,
(නිර්මාණයක) පෙනී සිටිනවා","~ someone/something (as someone/something)
~ (in something)"
feed*,/fiːd/,"පෝෂණය කරනවා,
කවනවා,
(අවශ්‍ය දේ) සපයනවා",~ someone/something
feel*,/fiːl/,"හැඟෙනවා,
දැනෙනවා,
විඳිනවා,
ස්පර්ශ කර බලනවා","~ something
~ (+ adj.)
~ (adv./prep.)"
fell,/fel/,බිම හෙළනවා,~ someone/something
fetch,/fetʃ/,"අරං එනවා,
එක්කගෙන එනවා","~ someone/something
~ someone something"
fight*,/faɪt/,"සටන් කරනවා,
පොර බදනවා,
ගහ ගන්නවා",~ (against) (someone/something)
file,/faɪl/,"ගොනුගත කරනවා,
(ඉල්ලුම්පතක්/නඩුවක්) ඉදිරිපත් කරනවා,
පීරී ගානවා","~ something
~ for something
~ something (away/down)"
fill,/fɪl/,"පිරෙනවා,
පුරවනවා",~ (something) (with something)
film,/fɪlm/,චිත්‍රපටයකට නගනවා,~ someone/something
finance,/ˈfaɪnæns/,මුදල් සපයනවා,~ something
find*,/faɪnd/,"සොයාගන්නවා,
පෙනෙනවා,
දැනෙනවා","~ someone/something (for something)
~ someone/something (to do something)
~ that...
~ something + adj."
finish,/ˈfɪnɪʃ/,ඉවර කරනවා,"~ (something)
~ doing something
~ + adj."
fire,/ˈfaɪə(r)/,"(තුවක්කුව) පත්තු කරනවා,
රැකියාවෙන් අස් කරනවා","~ (something) (at someone/something)
~ someone"
fit**,/fɪt/,"(ඇඳුමක්) ප්‍රමාණය/හැඩය හරියනවා,
ගැළපෙනවා,
ගළපනවා,
සවිකරනවා","~ (someone/something) (for something)
~ (something) (adv./prep.)"
fix,/fɪks/,"සවි කරනවා,
සවි වෙනවා,
අලුත්වැඩියා කරනවා","~ something (for someone)
~ someone something"
flap,/flæp/,"අත්තටු ගසනවා,
ලෙල දෙනවා",~ (something)
flare,/fleə(r)/,"ගිනි දැල් අවිලෙනවා,
(තරහෙන්) නාස් පුඩු පළල් වෙනවා",
flatter,/ˈflætə(r)/,"චාටු බස් කියනවා,
(බොරු) ප්‍රශංසා කරනවා",~ someone
float,/fləʊt/,"පාවෙනවා,
ඉපිලෙනවා,
දියත් කරනවා","~ (someone/something) (in/on something)
~ (adv./prep.)"
flock,/flɒk/,රංචු ගැහෙනවා,"~ together
~ (adv./prep.) (to do something)"
flood,/flʌd/,"ජලයෙන් යටවෙනවා/යටකරනවා,
ගඟක් පිටාර ගලනවා,
බුරුතු පිටින් එනවා","~ (something)
~ in/into something"
flourish,/ˈflʌrɪʃ/,"සශ්‍රීකව වැඩෙනවා,
සාර්ථක/දියුණු වෙනවා",
flow,/fləʊ/,"ගලායනවා,
ගලා බසිනවා",~ (adv./prep.)
flower,/ˈflaʊə(r)/,මල් හටගන්නවා/හටගන්වනවා,
fluctuate,/ˈflʌktʃueɪt/,ප්‍රමාණය/ගුණය අඩු වැඩි වෙනවා,~ (between A and B)
flush,/flʌʃ/,"මුහුණ රතු වෙනවා,
සෝදා හරිනවා","~ (red)
~ something"
fly**,/flaɪ/,"පියාඹනවා,
ගුවනින් යනවා,
ගුවන් යානයක්/සරුංගලයක් මෙහෙයවනවා","~ (adv./prep.)
~ something"
fold,/fəʊld/,"නවනවා,
හකුලනවා","~ something (up)
~ something (into something)"
follow,/ˈfɒləʊ/,"පසුපස යනවා,
අනුගමනය කරනවා",~ (someone/something)
forbid*,/fəˈbɪd/,තහනම් කරනවා,"~ (someone) something
~ someone (to do something)
~ someone (from doing something)"
force,/fɔːs/,"බල කරනවා,
බලෙන් යොදනවා,
බලෙන් කරනවා","~ someone (into something)
~ someone (into doing something)
~ something"
forge,/fɔːdʒ/,"(ලියවිල්ලක්/අත්සනක්) හොරට සකස් කරනවා,
ලෝහ තලා හැඩ කරනවා",~ something
forget*,/fəˈɡet/,"අමතක වෙනවා/කරනවා,
අතපසු වෙනවා/කරනවා","~ (someone/something)
~ (about something)
~ to do something
~ doing something
~ that...
~ wh-"
forgive*,/fəˈɡɪv/,වරදට සමාව දෙනවා,"~ someone (for something)
~ someone (for doing something)
~ someone something"
form,/fɔːm/,"ස්වාභාවිකව සෑදෙනවා,
සාදනවා,
හැඩගැහෙනවා,
හැඩ ගන්වනවා",~ (from something) (into something)
forsake*,/fəˈseɪk/,අත්හැර දමා යනවා,~ someone/something
found,/faʊnd/,(සංවිධානයක්) ආරම්භ කරනවා/ පිහිටුවනවා,~ something
freeze*,/friːz/,"සීතල නිසා මිදෙනවා,
(බයෙන්/විශ්මයෙන්) ගල් ගැහෙනවා,
අක්‍රිය වෙනවා/කරනවා",~ something
frighten,/ˈfraɪtn/,බය කරනවා/වෙනවා,~ (someone)
function,/ˈfʌŋkʃn/,(නිවැරදිව) ක්‍රියා කරනවා,"~ (as someone/something)
~ (adv./prep.)"
fund,/fʌnd/,අරමුදල් සපයනවා,~ something
