Verb,Pronunciation,SinhalaMeanings,Usage
gain,/ɡeɪn/,(ලාභයක්/වාසියක්) ලඟා කරනවා/කර දෙනවා,"~ something (by/from something)
~ someone something"
gallop,/ˈɡæləp/,පිම්මේ යනවා,~ (adv./prep.)
gamble,/ˈɡæmbl/,"සූදු කෙළිනවා,
වාසි අපේක්ෂාවෙන් අවදානමක් ගන්නවා",~ (something) (at/on something)
garden,/ˈɡɑːdn/,ගෙවතු වැඩ කරනවා,
gargle,/ˈɡɑːɡl/,උගුර සෝදනවා,~ (with something)
garrotte,/ɡəˈrɒt/,(යම් දෙයකින්) බෙල්ල හිර කර මරනවා,~ someone
gasp,/ɡɑːsp/,"(විශ්මයෙන්/අපහසුවෙන්) හුස්මක් ඉහලට අදිනවා,
අමාරුවෙන් හුම අදිනවා,
අමාරුවෙන් හුස්ම අරං යමක් කියනවා","~ (at something)
~ (for air)
~ something out"
gather,/ˈɡæðə(r)/,"රැස් කරනවා,
රැස් වෙනවා","~ (adv./prep.)
~ someone/something together/up"
gaze,/ɡeɪz/,ඕනෑකමින් බලා සිටිනවා,"~ at something
~ into
~ adv./prep."
get*,/ɡet/,"ලබා ගන්නවා,
සලසා ගන්නවා etc.","~ something (for someone)
~ someone something
~ (someone/something) + adj.
~ used to
~ (someone/something) to do something
~ (someone/something) doing something
~ something done
~ adv./prep."
give*,/ɡɪv/,"දෙනවා,
ප්‍රදානය කරනවා","~ someone something
~ something (to someone)"
go*,/gəʊ/,යනවා etc.,"~ (from …) (to …) (with someone) (to do something)
~ (adv./prep.) (something)"
go*,/gəʊ/,තැනකට ගිහින් එනවා,~ to …
grab,/ɡræb/,"තදින් අල්ලගන්නවා,
උදුරාගන්නවා",~ (something)
graduate,/ˈɡrædʒueɪt/,උපාධිය ලබාගන්නවා,"~ (from something)
~ (in something)
~ something"
grant,/ɡrɑːnt/,(ඉල්ලීමක්) ලබාදෙනවා,"~ something (to someone)
~ someone something"
greet,/ɡriːt/,"ආචාර සමාචාර කරනවා,
පිළිගන්නවා",~ someone (with something)
grow*,/ɡrəʊ/,"වැවෙනවා,
වවනවා,
වර්ධනය වෙනවා","~ (something)
~ (in something)
~ + adj."
guarantee,/ˌɡærənˈtiː/,වගකීම් ඉටු කරන බවට සහතික/පොරොන්දු/ඇප වෙනවා,"~ something
~ someone something
~ (that)
~ to do something"
guard,/ɡɑːd/,මුර කරනවා,~ someone/something
guess,/ɡes/,අනුමාන කරනවා,"~ (something)
~ (that)
~ wh-
~ at something
~ (right/wrong)"
guide,/ɡaɪd/,"මග පෙන්වනවා,
මෙහෙයවනවා",~ someone (to/through/around something)
gulp,/ɡʌlp/,(ඉක්මනින්/අපහසුවෙන්) ගිල දමනවා,~ (something) (down)
