Verb,Pronunciation,SinhalaMeanings,Usage
hack,/hæk/,"පරිගණකයක් භාවිතයෙන් අනවසරයෙන් දත්ත ලබා ගන්නවා,
කපා කොටා දමනවා","~ (into something)/(something)
~ someone/something"
halt,/hɔːlt/,"නවතිනවා,
නවත්වනවා",~ (someone/something)
hand,/hænd/,අතින්ම බාර දෙනවා,"~ something (to someone)
~ in/over something"
handle,/ˈhændl/,"(කෙනෙක්/දෙයක් සම්බන්ධව) කටයුතු කරනවා,
අතින් ස්පර්ශ කරනවා,
හසුරවනවා",~ someone/something
hang*,/hæŋ/,"එල්ලනවා,
එල්ලෙනවා,
එල්ලා වැටෙනවා","~ (something)(adv./prep.)
~ (something) (up/out)"
hang,/hæŋ/,කෙනෙක්ව එල්ලා මරනවා,~ someone (to death)
happen,/ˈhæpən/,(යමක්) සිද්ධ වෙනවා,
harm,/hɑːm/,"රිදවනවා,
හානි කරනවා",~ someone/something
harvest,/ˈhɑːvɪst/,"අස්වැන්න නෙලා ගන්නවා,
ඵල නෙලාගන්නවා",~ (something)
hatch,/hætʃ/,"බිත්තරවලින් පැටව් එනවා,
බිත්තර රකිනවා,
හොරෙන් සැලැස්මක් හදනවා","~ (out)
~ something (up)"
hate,/heɪt/,"වෛර කරනවා,
අකැමති වෙන්වා","~ someone/something
~ to do something
~ doing something"
haunt,/hɔːnt/,හොල්මන් කරනවා,~ someone/something
head,/hed/,"(දිහාවකට) යනවා,
මූලිකත්වය ගෙන සිටිනවා,
ඉදිරියෙන් සිටිනවා,
හිසින් පහර දෙනවා","~ + adv./prep.
~ something"
heal,/hiːl/,"සුව වෙනවා,
සුව කරනවා","~ (something)
~ someone (of something)"
heap,/hiːp/,ගොඩ ගහනවා,"~ something (up)
~ A on B"
hear*,/hɪə(r)/,"ඇහෙනවා,
ඇහුම්කන් දෙනවා","~ someone/something
~ (that)
~ wh-"
heat,/hiːt/,රත් වෙනවා/කරනවා,"~ up
~ (something)"
help,/help/,උදවු වෙනවා/කරනවා,"~ someone/something
~ (someone) with something
~ (someone) (to) do something
~ (someone) in doing something"
hide*,/haɪd/,"හැංගෙනවා,
හංගනවා","~ (someone/something) (from something)
~ (someone/something) (adv./prep.)"
highlight,/ˈhaɪlaɪt/,අවධානයට ලක් කරනවා,~ something
hinder,/ˈhɪndə(r)/,අවහිර කරමින් වළක්වනවා,~ someone/something (from doing something)
hint,/hɪnt/,ඉඟියකින් දන්වනවා,"~ (at something)
~ (that)"
hire,/ˈhaɪə(r)/,කුලියට ගන්නවා,~ someone/something (to do something)
hit*,/hɪt/,"පහරක් ගහනවා,
වදිනවා,
හැප්පෙනවා","~ someone/something
~ something (on/against something)
~ something (adv./prep.)"
hoard,/hɔːd/,ගොඩ ගහ ගන්නවා,~ (something)
hold*,/həʊld/,"අල්ලාගෙන ඉන්නවා,
දරාගෙන ඉන්නවා,
රඳවාගෙන ඉන්නවා","~ someone/something
(adv./prep.)
~ someone + noun"
hope,/həʊp/,බලාපොරොත්තු වෙනවා,"~ (for something)
~ that...
~ to do something"
hospitalize,/ˈhɒspɪtəlaɪz/,රෝහල්ගත කරනවා,~ someone
howl,/haʊl/,උඩු බුරනවා,~ (in/with something)
hug,/hʌɡ/,වැළඳ ගන්නවා,~ (someone/something)
hunt,/hʌnt/,දඩයම් කරනවා,"~ someone/something
~ for someone/something"
hurry,/ˈhʌri/,ඉක්මන් කරනවා,"~ (something) (adv./prep.)
~ someone (into doing something)"
hurt*,/hɜːt/,"රිදෙනවා,
රිද්දනවා",~ someone/something
