Verb,Pronunciation,SinhalaMeanings,Usage
identify,/aɪˈdentɪfaɪ/,හඳුනා ගන්නවා,~ someone/something (as something)
ignite,/ɪɡˈnaɪt/,"ගිනි ගන්නවා,
ගිනි ගන්වනවා",~ (something)
ignore,/ɪɡˈnɔː(r)/,"නොසලකා හරිනවා,
ගණන් නොගෙන සිටිනවා",~ someone/something
illustrate,/ˈɪləstreɪt,"චිත්‍ර/සටහන් ආදියෙන් පැහැදිලි කරනවා,
නිදර්ශනය කරනවා","~ something (with something)
~ wh-"
imagine,/ɪˈmædʒɪn/,"පරිකල්පනය කරනවා,
හිතින් මවාගන්නවා","~ (something)
~ (that)
~ wh-
~ someone/something doing something"
impel,/ɪmˈpel/,"බල කරනවා,
පොළඹවනවා",~ someone (to do something)
implant,/ɪmˈplɑːnt/,රෝපණය කරනවා,~ something (in/into something)
implement,/ˈɪmplɪment/,ක්‍රියාවෙහි යොදවනවා,~ something
imply,/ɪmˈplaɪ/,අඟවනවා,"~ (that)
~ something"
import,/ɪmˈpɔːt/,ආනයනය කරනවා (පිටින් ගෙන්වනවා),~ something (from …) (into …)
impose,/ɪmˈpəʊz/,(නීතියක්/පනතක්) පනවනවා,~ something (on/upon someone/something)
impress,/ɪmˈpres/,යහපත් හැඟීමක් හිතෙහි කාවද්දනවා,"~ someone (with something)
~ someone that
~ someone on/upon something"
imprint,/ɪmˈprɪnt/,"(සිතෙහි) කාවදිනවා/කාවද්දනවා,
මුද්‍රාව යොදනවා","~ in/on something
~ A in/on B
~ B with A"
imprison,/ɪmˈprɪzn/,සිර ගත කරනවා,~ someone
improve,/ɪmˈpruːv/,වැඩි දියුණු කරනවා,~ (something)
improvise,/ˈɪmprəvaɪz/,පෙර සූදානමක් නැතිව ඉදිරිපත් කරනවා,"~ (something)
~ on something"
include,/ɪnˈkluːd/,"අඩංගු කරනවා,
අන්තර්ගත කරනවා","~ something
~ doing something
~ someone/something (as/in/on something)"
increase,/ɪnˈkriːs/,වැඩි වෙනවා/කරනවා,"~ (something) (from A) (to B)
~ (something) (in/by/with something)"
