Verb,Pronunciation,SinhalaMeanings,Usage
lack,/læk/,යමක් නැතිව/හිඟව සිටිනවා,~ something
land,/lænd/,"ගොඩ බසිනවා,
ගොඩ බස්සනවා","~ (adv./prep.)
~ something"
last,/lɑːst/,අවසන් නොවී/විනාශ නොවී පවතිනවා,
laugh,/lɑːf/,හඬ නගා සිනහ වෙනවා,"~ (out)
~ at someone/something"
launch,/lɔːntʃ/,"යාත්‍රාවක් දියත් කරනවා,
අලුත් යමක් අරඹනවා",~ something
lay*,/leɪ/,"(බිමින්) තබනවා,
බිත්තර දානවා,
අතුරනවා/වැතිරෙනවා","~ something down
~ eggs
~ someone/something (adv./prep.)"
laze,/leɪz/,අලසකමින් කල් ගෙවනවා,~ around/about
lead*,/liːd/,"කැඳවාගෙන යනවා,
නායකත්වය දෙනවා,
පෙරමුණ ගන්නවා","~ someone/something (adv./prep.)
~ someone to do something"
leak,/liːk/,"කාන්දු වෙනවා,
කාන්දු කරනවා,
රහස් හෙළිදරව් කරනවා","~ (something)
~ something (to someone)"
lean**,/liːn/,"ඇල වෙනවා (නැවෙනවා),
හේත්තු වෙනවා,
පැත්තකට බර වෙනවා","~ adv./prep.
~ (on/against) someone/something"
leap**,/liːp/,දුරට පනිනවා,"~ (adv./prep.)
~ (from …) (to …)"
learn**,/lɜːn/,ඉගෙනගන්නවා,"~ (about) something (from someone/something)
~ something (from doing something)
~ that...
~ wh-"
leave*,/liːv/,"පිටත් වෙනවා,
හැර දමා යනවා,
තබා යනවා,
ඉතිරිකර තබනවා","~ for …
~ something
~ someone/something for/with someone/something"
legalize,/ˈliːɡəlaɪz/,නීත්‍යානුකූල කරනවා,~ something
lend*,/lend/,ණයට/තාවකාලිකව දෙනවා,"~ someone something
~ (out) something (to someone)"
let*,/let/,(යමක් කරන්නට) ඉඩ හරිනවා/අවසර දෙනවා,~ someone/something do something
lie*,/laɪ/,"වැතිරී සිටිනවා,
හාන්සි වී සිටිනවා,
තිබෙනවා,
පවතිනවා",~ (adv./prep.)
lie,/laɪ/,බොරු කියනවා,~ (to someone) (about someone)
lift,/lɪft/,"ඔසවනවා,
ඉස්සෙනවා",~ someone/something (up) (adv./prep.)
light**,/laɪt/,"දැල්වෙනවා/දල්වනවා,
ආලෝකමත් වෙනවා/කරනවා",~ something
like,/laɪk/,"කැමතියි,
කැමති වෙනවා","~ someone/something
~ to do something
~ doing something"
limit,/ˈlɪmɪt/,සීමා කරනවා,~ something (to something)
line,/laɪn/,පේළි හදනවා/හැදෙනවා,~ (something) up
link,/lɪŋk/,"සම්බන්ධ කරනවා/වෙනවා,
ආඳනවා/ඈඳෙනවා,
එකට බඳිනවා/බැඳෙනවා","~ A to B
~ A with B
~ A and B (together)"
list,/lɪst/,ලැයිස්තුගත කරනවා,~ something
listen,/ˈlɪsn/,ඇහුම්කන් දෙනවා,~ (to someone/something)
live,/lɪv/,"ජීවත් වෙනවා,
පවතිනවා",~ (something) (adv./prep.)
load,/ləʊd/,"බර පටවනවා,
ගොඩ ගහනවා","~ (up) something (with something)
~ someone/something (into/onto something)"
locate,/ləʊˈkeɪt/,පිහිටි/තිබෙන/සිටින තැන සොයාගන්නවා,~ someone/something
lock,/lɒk/,"අගුලු දානවා,
යතුරු දානවා,
හිර කරනවා/වෙනවා",~ (something) (adv./prep.)
look,/lʊk/,බලනවා,"~ (at someone/something)
~ (adv./prep.) (someone/something)"
loose,/luːs/,"බුරුල් කරනවා,
ලිහනවා,
ලිහා අරිනවා",~ something (on/upon someone/something)
lose*,/luːz/,"පරදිනවා,
නැති කරගන්නවා",~ (someone/something)
lower,/ˈləʊə(r)/,"පහත් කරනවා,
පහත හෙළනවා,
අඩු කරනවා",~ someone/something (adv./prep.)
