Verb,Pronunciation,SinhalaMeanings,Usage
maintain,/meɪnˈteɪn/,"පවත්වාගෙන යනවා,
නඩත්තු කරනවා",~ something
make*,/meɪk/,"හදනවා,
පිළියෙළ කරනවා etc.","~ (someone) something
~ something (out) (of something)
~ something (from/into something)
~ something for someone
~ someone/something + adj.
~ someone/something +noun
~ someone/something do something"
manage,/ˈmænɪdʒ/,"කළමනාකරණය කරනවා,
පිරිමසා ගන්නවා,
පාලනය කරනවා","~ (something)
~ to do something
~ with/without someone/something"
mark,/mɑːk/,"සලකුණු කරනවා,
ලකුණක් යොදනවා,
ලකුණු දෙනවා","~ A (with B)
~ B on A
~ someone/something as something"
market,/ˈmɑːkɪt/,විකුණනවා,~ something (to someone) (as something)
marry,/ˈmæri/,"විවාහ වෙනවා,
විවාහ කරගන්නවා,
විවාහ කර දෙනවා","~ (someone)
~ someone to someone"
matter,/ˈmætə(r)/,වැදගත් වෙනවා,~ (to someone)
mean*,/miːn/,"අදහස් කරනවා,
හැඟෙනවා","~ something (to someone)
~ that..."
measure,/ˈmeʒə(r)/,"මිනුම් කරනවා,
තක්සේරු කරනවා","~ something (in something)
~ someone/something (for something)
~ how"
meddle,/ˈmedl/,අනුන්ගේ දේට උවමනාවෙන් පටලවෙනවා/ඇඟිලි ගසනවා,~ (in/with something)
mediate,/ˈmiːdieɪt/,මැදිහත් වෙනවා,"~ between A and B
~ (in) something"
meditate,/ˈmedɪteɪt/,"භාවනා කරනවා,
සිත යම් දෙයකටම යොමු කරනවා,
හිතින් සැලසුම් කරනවා","~ (on/upon something)
~ something"
meet*,/miːt/,මුණ ගැහෙනවා,~ (with) (someone) (for something)
melt,/melt/,"උණු වී දිය වෙනවා,
උණු කර දිය කරනවා",~ (something)
memorize,/ˈmeməraɪz/,"කට පාඩම් කරනවා,
මතක තියාගන්නවා",~ (something)
mention,/ˈmenʃn/,"සඳහන් කරනවා,
මතක් කරනවා","~ someone/something (to someone)
~ someone/something (as someone/something)
~ that...
~ wh-
~ doing something"
merge,/mɜːdʒ/,එකට එකතු වෙනවා/කරනවා,"~ with something
~ into something
~ A with B
~ (A and B) (together)"
mimic,/ˈmɪmɪk/,සරදමක් හැටියට අනුකරණය කරනවා,~ someone/something
mind,/maɪnd/,නරක විදියට දෙයක් හිතට ගන්නවා,"~ (something)
~ (someone/something) doing something
~ that...
~ wh-"
miss,/mɪs/,"ගිලිහී යනවා,
මග හැරෙනවා,
බැරි වෙනවා","~ someone/th
~ (someone/something) (doing) something"
mistake*,/mɪˈsteɪk/,"වරද්ද ගන්නවා,
වැරදියට වටහා ගන්නවා",~ someone/something (as someone/something)
mix,/mɪks/,"මිශ්‍ර වෙනවා,
මිශ්‍ර කරනවා","~ (something) (with something)
~ A and B (together)"
moan,/məʊn/,"කෙඳිරි ගානවා,
මැසිවිලි නගනවා","~ (in/with something)
~ (on) (about something) (to someone)
~ (at someone) (about something)
~ that..."
mock,/mɒk/,සරදම් කරනවා,~ someone/something
modernize,/ˈmɒdənaɪz/,නවීකරණය කරනවා,~ something
modify,/ˈmɒdɪfaɪ/,වෙනස් කරනවා,~ something
mourn,/mɔːn/,නැති වුනු දෙයක්/මිය ගිය කෙනෙක් වෙනුවෙන් දුක් වෙනවා/වැලපෙනවා,"~ (something)
~ (for someone/something)"
move,/muːv/,"එහා මෙහා වෙනවා/කරනවා,
සසල වෙනවා/කරනවා,
පදිංචිය වෙනස් කරනවා,
පොළඹවනවා","~ adv./.prep.
~ (someone/something) (from …) (to …)
~ away
~ (someone) to do something"
muffle,/ˈmʌfl/,"හඬ අවුරනවා,
(උණුසුම සඳහා) අවුරනවා","~ something
~ someone/something (up) (in something)"
murder,/ˈmɜːdə(r)/,ඝාතනය කරනවා,~ someone
mutter,/ˈmʌtə(r)/,පහත් හඬින් කියනවා,"~ (something) (to someone)
~ that..."
