Verb,Pronunciation,SinhalaMeanings,Usage
name,/neɪm/,"නම් කරනවා,
නමක් දෙනවා","~ (someone/something) +noun
~ (someone/something) (after someone/something)"
narrate,/nəˈreɪt/,කථාවක්/සිද්ධියක් අනුපිළිවෙලින් විස්තර කරනවා,~ something
need,/niːd/,"උවමනා වෙනවා,
අවශ්‍ය වෙනවා","~ someone/something
~ to do something
~ doing something"
negotiate,/nɪˈɡəʊʃieɪt/,එකඟතාවයකට එන්නට සාකච්ඡා කරනවා,"~ something
~ (with someone) (for/about something)"
nod,/nɒd/,"හිස සලනවා,
හිසින් සංඥා කරනවා",~ (something) (to/at someone) (to do something)
note,/nəʊt/,"අවධානයට ලක් කරනවා,
සටහන් කරගන්නවා,
මතක තබා ගන්නවා","~ something
~ that...
~ wh-"
notice,/ˈnəʊtɪs/,"නිරීක්ෂණය කරනවා,
විශේෂ අවධානයට යොමු කරනවා,
දකිනවා","~ someone/something
~ that...
~ wh-
~ someone do/doing something"
number,/ˈnʌmbə(r)/,අංකනය කරනවා,"~ something (+ noun)
~ something (from …) (to …)"
nurse,/nɜːs/,"(කෙනෙකුට)
සාත්තු කරනවා,
කිරි දෙනවා/පොවනවා",~ someone
nurture,/ˈnɜːtʃə(r)/,"ඇති දැඩි කරනවා,
පෝෂණය කරනවා",~ someone/something
