Verb,Pronunciation,SinhalaMeanings,Usage
obey,/əˈbeɪ/,"කීකරු වෙනවා,
නියෝග පිළිපදිනවා",~ (someone/something)
object,/əbˈdʒekt/,විරෝධය පල කරනවා,"~ (to something)
~ doing something
~ someone doing something"
oblige,/əˈblaɪdʒ/,(කළ උදවුවකට) ණයගැති වෙනවා,~ someone to do something [P.V.]
observe,/əbˈzɜːv/,"නිරීක්ෂණය කරනවා,
විශේෂ අවධානයට යොමු කරනවා,
දකිනවා","~ someone/something (do something/doing something)
~ that..."
obstruct,/əbˈstrʌkt/,"අවහිර කරනවා,
බාධා කරනවා",~ something
obtain,/əbˈteɪn/,"ලබාගන්නවා,
අත් කරගන්නවා",~ something
occupy,/əbˈstrʌkt/,"ඉඩක්/ප්‍රදේශයක්/
කාලයක් භාවිතා කරනවා,
(වැඩක) නිරත වෙනවා","~ something
~ someone/something (with someone/something)
~ someone/something (in doing something)"
occur,/əˈkɜː(r)/,"සිදුවෙනවා,
මතකයට එනවා","~ adv./prep.
~ to someone that"
offend,/əˈfend/,"වරදක් කරනවා,
හිත රිද්දනවා",~ someone/something
offer,/ˈɒfə(r)/,පිළිගන්වනවා,"~ someone something
~ something (to someone)"
open,/ˈəʊpən/,"විවෘත කරනවා,
ආරම්භ කරනවා",~ something
operate,/ˈɒpəreɪt/,"ක්‍රියා කරනවා,
ක්‍රියා කරවනවා,
සැත්කමක් කරනවා","~ something
~ (on someone) (for something)"
oppose,/əˈpəʊz/,"විරුද්ධ වෙනවා,
විරෝධය පානවා,
එරෙහිව සිටිනවා",~ (someone/something) (doing something)
order,/ˈɔːdə(r)/,"නියෝග කරනවා,
ඇණවුම් කරනවා","~ someone to do something
~ that...
~ someone something
~ something (for someone)"
organize,/ˈɔːɡənaɪz/,"සංවිධානය කරනවා,
පිළියෙළ කරනවා",~ something
outline,/ˈaʊtlaɪn/,අදාළ කරුණු සැකිල්ලක් සේ දක්වනවා,"~ something (to someone)
~ wh-"
outlive,/ˌaʊtˈlɪv/,"යම් කෙනෙකුට වඩා කල් ජීවත් වෙනවා,
යම් දෙයකට වඩා කල් පවතිනවා","~ someone
~ something"
outsmart,/ˌaʊtˈsmɑːt/,යම් කෙනෙකුට වඩා උපායශීලී වෙනවා,~ someone
outwit,/ˌaʊtˈwɪt/,යම් කෙනෙකුට වඩා උපායශීලී වී ඔහුව පරදනවා,~ someone
overcome*,/ˌəʊvəˈkʌm/,මැඩපවත්වමින්/යටපත් කරමින් සාර්ථක වෙනවා,~ someone/something
overdose,/ˈəʊvədəʊs/,(බෙහෙතක් වැනි යමක්) නියමිත මාත්‍රාවට වඩා ගන්නවා,~ (on something)
overestimate,/ˌəʊvərˈestɪmeɪt/,අධිතක්සේරු කරනවා,~ someone/something
overflow,/ˌəʊvəˈfləʊ/,පිරී ඉතිරී යනවා,~ (with something)
overhear*,/ˌəʊvəˈhɪə(r)/,වෙන කෙනෙකුට තව කෙනෙක් කියන දෙයක් අහම්බෙන් ඇහෙනවා,"~ someone/something (doing something)
~ someone/something (do something)"
overheat,/ˌəʊvəˈhiːt/,අධික ලෙස රත් වෙනවා/කරනවා,~ (something)
overlap,/ˌəʊvəˈlæp/,එකක් උඩ එකක් වැටෙනවා,~ (something)
overpower,/ˌəʊvəˈpaʊə(r)/,දමනය කරනවා,~ someone
overrate,/ˌəʊvəˈreɪt/,වැඩි තක්සේරු කරනවා,~ someone/something
overrule,/ˌəʊvəˈruːl/,නිෂ්ප්‍රභා කරනවා,~ someone/something
overstep,/ˌəʊvəˈstep/,"සීමාව ඉක්මවා යනවා,
උල්ලංඝණය කරනවා",~ something
overtake,/ˌəʊvəˈteɪk/,"පසුකර යනවා,
ප්‍රමාණයෙන්/වැදගත්කමින් ඉක්මවා යනවා",~ (someone/something)
overwhelm,/ˌəʊvəˈwelm/,මැඩ පවත්වනවා,~ someone/something
owe,/əʊ/,කෙනෙකුට යමක් ගෙවීමට/කර දෙන්නට බැඳී සිටිනවා,"~ someone something (for something)
~ something (to someone) (for something)"
own,/əʊn/,"අයිතියි,
(සත්‍ය යැයි) පිළිගන්නවා","~ something
~ to something
~ to doing something
~ that..."
