Verb,Pronunciation,SinhalaMeanings,Usage
race,/reɪs/,"තරඟ වදිනවා,
වේගයෙන් යනවා/පදවනවා","~ someone/something
~ against someone/something
~ to do something
~ adv./prep."
rain,/reɪn/,වහිනවා,
raise,/reɪz/,"ඔසවනවා,
ඉහළ දමනවා,
හදා වඩා ගන්නවා","~ something (adv./prep.)
~ someone"
range,/reɪndʒ/,පරාසයක පවතිනවා,"~ from A to B
~ between A and B
~ adv./prep."
reach,/riːtʃ/,"ලඟා වෙනවා,
සමීප වෙනවා,
අත දික්කරනවා","~ someone/something
~ (something) (adv./prep.)"
react,/riˈækt/,"ප්‍රතික්‍රියා කරනවා,
ක්‍රියාවකට ප්‍රතිචාර දක්වනවා","~ (to something) (by doing something)
~ (adv./prep.)
~ (with something)
~ (together)"
read*,/riːd/,කියවනවා,"~ (something)
~ someone something
~ something (to someone)
~ about/of something
~ that..."
realize,/ˈriːəlaɪz/,තත්වයක් වටහා ගන්නවා,"~ something
~ that...
~ wh-"
reason,/ˈriːzn/,තාර්කිකව කරුණු දක්වනවා/සලකා බලනවා,~ (that)
recall,/rɪˈkɔːl/,යළි මතක් කරගන්නවා,"~ something
~ (someone/something) doing something
~ that...
~ wh-"
receive,/rɪˈsiːv/,"ලබාගන්නවා,
පිළිගන්නවා,
බාරගන්නවා","~ something from someone
~ something with something
~ someone (into something)"
recognize,/ˈrekəɡnaɪz/,"හඳුනාගන්නවා,
පිළිගන්නවා","~ someone/something (as someone/something) (by/from something)
~ that...
~ wh-"
recommend,/ˌrekəˈmend/,යෝග්‍ය යැයි යෝජනා කරනවා,"~ someone/something (to someone) (for/as something)
~ someone (to do something)
~ (someone) doing something
~ that...
~ wh-"
record,/rɪˈkɔːd/,"වාර්තාගත කරනවා,
සටහන් කරනවා,
පටිගත කරනවා","~ something
~ that...
~ wh-"
recover,/rɪˈkʌvə(r)/,"අසනීපයකින් සුවය ලබනවා,
නැති වූ දෙයක් ආපසු ලබා ගන්නවා","~ (from something)
~ something (from someone/something)"
reduce,/rɪˈdjuːs/,අඩුකරනවා,~ something (from something) (to something) (by something)
refer,/rɪˈfɜː(r)/,"ගැන කතා කරනවා,
සඳහන් කරනවා,
යොමු කරනවා","~ to someone/something
~ someone/something to someone/something"
reflect,/rɪˈflekt/,"පරාවර්තනය කරනවා,
පිළිබිඹු කරනවා,
ප්‍රත්‍යවේක්ෂණය කරනවා","~ someone/something (in something)
~ that...
~ wh-
~ on/upon something"
refrain,/rɪˈfreɪn/,වැළකෙනවා,"~ (from something)
~ (from doing something)"
refuse,/rɪˈfjuːz/,"බාර නොගෙන සිටිනවා,
ප්‍රතික්ෂේප කරනවා","~ something
~ someone something"
regain,/rɪˈɡeɪn/,නැති වූ යමක් යළි ලබා ගන්නවා,~ something
regard,/rɪˈɡɑːd/,"(විශේෂ යමෙක්/දෙයක් ලෙස) සලකනවා,
සැලකිල්ලට ගන්නවා","~ someone/something as someone/something
~ someone/something (adv./prep.)"
register,/ˈredʒɪstə(r)/,"ලියාපදිංචි කරනවා,
ලේඛනගත කරනවා","~ something (in something)
~ (someone) as something
~ (something)"
regret,/rɪˈɡret/,"පසු තැවෙනවා,
කනගාටු වෙනවා,
කනගාටුව පළ කරනවා","~ something
~ doing something
~ that...
~ wh-
~ to do something"
reject,/rɪˈdʒekt/,"බාර නොගෙන ඉන්නවා,
ප්‍රතික්ෂේප කරනවා,
ඉවත දමනවා",~ someone/something
relax,/rɪˈlæks/,"විවේකී වෙනවා,
විවේකීව ඉන්නවා",~ (something)
release,/rɪˈliːs/,"මුදා හරිනවා,
විසුරුවා හරිනවා","~ someone/something
~ someone/something from something"
relieve,/rɪˈliːv/,සහනය සලසනවා,~ someone/something
relive,/ˌriːˈlɪv/,පරණ මතක හිතින් ආයෙමත් විඳිනවා,~ something
remain,/rɪˈmeɪn/,"ඉතිරි වෙනවා,
රැඳී සිටිනවා,
පවතිනවා","~ +adj./noun
~ adv./prep.
~ (to do something)"
remember,/rɪˈmembə(r)/,"මතකයි,
මතක තියාගන්නවා,
මතක් කරනවා","~ (someone/something)
~ that...
~ wh-
~ to do something
~ doing something"
remind,/rɪˈmaɪnd/,මතක් කරනවා,"~ someone (about /of something)
~ someone (to do something)
~ someone (that)
~ someone (wh-)"
remove,/rɪˈmuːv/,"ඉවත් කරනවා,
ඉවතට ගෙන යනවා",~ someone/something (from someone/something)
rent,/rent/,"කුලියට ගන්නවා,
කුලියට දෙනවා","~ something
~ something out"
repair,/rɪˈpeə(r)/,අලුත්වැඩියා කරනවා,~ something
repeat,/rɪˈpiːt/,"නැවත කියනවා,
නැවත කරනවා,
නැවත නැවත සිදුවෙනවා etc.","~ something (to someone)
~ something (after someone)
~ that...
~ what"
replace,/rɪˈpleɪs/,ආදේශ කරනවා,~ someone/something (with someone/something)
reply,/rɪˈplaɪ/,පිළිතුරු දෙනවා,"~ (to someone) (with something)
~ that..."
report,/rɪˈpɔːt/,"වාර්තා කරනවා,
පැමිණිලි කරනවා","~ something (to someone)
~ (on something) (to someone)
~ (someone/something) doing something
~ someone/something as something
~ someone/something as doing something
~ that...
~ wh-"
represent,/ˌreprɪˈzent/,නියෝජනය කරනවා,~ someone/something
request,/rɪˈkwest/,"ඉල්ලනවා,
අයදිනවා","~ something (from someone)
~ someone to do something
~ that..."
require,/rɪˈkwaɪə(r)/,"අවශ්‍ය වෙනවා,
අපේක්ෂා කරනවා","~ someone/something (to do something)
~ that...
~ doing something
~ of th
~ someone to do something"
rescue,/ˈreskjuː/,"බේරා ගන්නවා,
(අනතුරකින්/විපතකින්)
ගලවා ගන්නවා",~ someone/something (from someone/something)
resemble,/rɪˈzembl/,(පෙනුමෙන්/හැසිරීමෙන්) වෙනත් කෙනෙකුට/දෙයකට සමානකමක් දක්වනවා,~ someone/something
reserve,/rɪˈzɜːv/,මතු ප්‍රයෝජනයට වෙන් කර තබනවා,~ something (for someone/something)
resign,/rɪˈzaɪn/,"ඉල්ලා අස්වෙනවා,
පදවිය අත් හරිනවා","~ (from something)
~ (as something)
~ something"
resist,/rɪˈzɪst/,"විරෝධය පානවා,
අවනත වීම ප්‍රතික්ෂේප කරනවා","~ (something)
~ doing something"
respect,/rɪˈspekt/,ගෞරවයෙන් සලකනවා,~ someone/something (for something)
respond,/rɪˈspɒnd/,ප්‍රතිචාර දක්වනවා,"~ (to someone/something) (with something)
~ that...
~ (to someone/something) (by doing something)"
rest,/rest/,"විවේක ගන්නවා,
රැඳී සිටිනවා/තිබෙනවා,
හේත්තු වී සිටිනවා/තිබෙනවා",~ (something) (adv./prep.)
restore,/rɪˈstɔː(r)/,"ප්‍රතිසංස්කරණය කරනවා,
ප්‍රකෘති තත්වයට පත් කරනවා,
ආපසු පැවති තත්වයට ගේනවා","~ something
~ someone/something to something"
restrict,/rɪˈstrɪkt/,"සීමා කරනවා,
සීමාවලට යටත් කරනවා","~ something (to something)
~ something (to someone)"
resume,/rɪˈzjuːm/,යළි පටන් ගන්නවා,"~ (something)
~ doing something"
retain,/rɪˈteɪn/,"රඳවා තබා ගන්නවා,
පවත්වා ගන්නවා,
සේවය ලබා ගන්නවා","~ something
~ someone/something"
retire,/rɪˈtaɪə(r)/,විශ්‍රාම ගන්නවා/ගන්වනවා,"~ (from something)
~ (to something)
~ someone"
retreat,/rɪˈtriːt/,පසු බසිනවා,~ (adv./prep.)
return,/rɪˈtɜːn/,"ආපසු එනවා/යනවා,
ආපසු ගේනවා/දෙනවා/යවනවා","~ (to …) (from …)
~ to something
~ someone/something (to someone/something)"
reveal,/rɪˈviːl/,"අනාවරණය කරනවා,
හෙළිදරව් කරනවා","~ (something) (to someone)
~ that...
~ wh-"
