Verb,Pronunciation,SinhalaMeanings,Usage
sacrifice,/ˈsækrɪfaɪs/,"කැප කරනවා,
පරිත්‍යාග කරනවා,
බිලි දෙනවා","~ something (for someone/something)
~ (someone/something)"
satisfy,/ˈsætɪsfaɪ/,තෘප්තිමත් කරනවා,"~ someone (of someone)
~ something
~ someone (that)"
save,/seɪv/,"ගලවා ගන්නවා,
බේරා ගන්නවා,
ඉතිරි කරනවා","~ someone/something (from something)
~ something (for someone/something)
~ someone something
~ (someone) (something) on something
~ (someone) doing something"
say*,/seɪ/,කියනවා,"~ something to someone
~ that..."
schedule,/ˈʃedʒuːl/,(වෙලාවක් දාගන්නවා) සැලසුම් කරගන්නවා,"~ something (for something)
~ someone/something to do something"
score,/skɔː(r,ලකුණු ගන්නවා,~ something (adv./prep.)
scream,/skriːm/,"(බයෙන්/වේදනාවෙන්) කෑගහනවා,
මොර දෙනවා","~ (out) (in/with something)
~ (out) (for someone/something)
~ at someone (to do something)
~ (out) that"
search,/sɜːtʃ/,"සොයනවා,
තියුණු ලෙස පරීක්ෂා කර බලනවා","~ (something) (for someone/something)
~ someone for something"
secure,/sɪˈkjʊə(r)/,"ලබා ගන්නට සමත් වෙනවා,
යමකට තදින් ගැට ගසනවා,
සුරක්ෂිත කරනවා","~ something (for someone/something)
~ something to something
~ something"
see*,/siː/,"දකිනවා,
බලනවා,
හමු වෙනවා","~ (someone/something)
~ that...
~ wh-
~ someone/something + adj.
~ someone/something doing something
~ someone/something do something"
seek*,/siːk/,"හොයනවා,
ඉල්ලා සිටිනවා,
උත්සාහ කරනවා","~ someone/something
~ for someone/something
~ something from someone
~ to do something"
seem,/siːm/,බැලූ බැල්මට පේනවා (වගේ පේනවා),"~ (to someone) (to be) + adj.
~ + noun
~ that...
~ like something
~ to be/do/have something"
seize,/siːz/,"උදුරා ගන්නවා,
බලෙන් අල්ලගන්නවා,
අත් අඩංගුවට ගන්නවා,
අත් පත් කරගන්නවා","~ someone/something (from someone)
~ something
~ someone"
select,/sɪˈlekt/,තෝරා ගන්නවා,"~ someone/something (for/as something)
~ someone/something (to do something)
~ wh-"
sell*,/sel/,"විකුණනවා,
විකිණෙනවා","~ something (to someone) (for something)
~ someone something (for something)
~ (something) (at something)"
send*,/send/,"යවනවා,
පිටත් කර යවනවා","~ someone something
~ something (to someone)
~ something (that)
~ someone/something (adv./prep.)
~ someone/something (to do something)
~ someone + adj."
separate,/ˈsepəreɪt/,"වෙන් කරනවා,
වෙන් වෙනවා","~ (something) (from something)
~ (something) into something
~ something and something"
serve,/sɜːv/,"අහාර බෙදනවා/පිළිගන්වනවා,
සේවය කරනවා","~ something (to someone)
~ someone something
~ something + adj.
~ someone (as something)
~ in/on/with something
~ under/with someone"
set*,/set/,"සකස් කරනවා,
සවි කරනවා,
පිහිටුවනවා,
තබනවා,
(ඉර/හඳ) බැස යනවා","~ someone/something (adv./prep.)
~ someone/something doing something
~ something"
settle,/ˈsetl/,"එකඟත්වයට එනවා,
(ණය) ගෙවා අවසන් කරනවා,
තැන්පත් වෙනවා,
පදිංචි වෙනවා","~ (something)
~ something
~ adv./prep.
~ someone/something (adv./prep.)"
shake*,/ʃeɪk/,"සොලවනවා/සෙලවෙනවා,
ගස්සනවා/ගැස්සෙනවා,
වෙවුලනවා,
තර්ජනය කරනවා,
අතට අත දෙනවා","~ someone/something
~ with something"
shape,/ʃeɪp/,"හැඩ ගන්වනවා,
හැඩ ගස්වනවා","~ A into B
~ someone/something"
share,/ʃeə(r)/,"බෙදා හදා ගන්නවා,
හවුලේ පරිහරණය කරනවා","~ (something) (with someone)
~ something (out) (between/among someone)"
shave,/ʃeɪv/,(රැවුල/රෝම/කොණ්ඩය) මුලින්ම කපා දමනවා,~ (someone/something)
shift,/ʃɪft/,(තැනකින් තැනකට/දෙයකින් දෙයකට) මාරු වෙනවා/කරනවා,"~ something
~ something (from …) (to/towards …)"
shine**,/ʃaɪn/,"දිලිසෙනවා,
බබලනවා,
ඔප දමනවා",~ (something)
shiver,/ˈʃɪvə(r)/,(බයෙන්/සීතලෙන්) වෙවුලනවා,~ with something
shock,/ʃɒk/,කම්පනයක්/සංවේගයක්/තිගැස්මක්/පිළිකුලක් ඇති කරනවා,"~ someone
~ someone (that)
~ someone (to do something)"
shoot*,/ʃuːt/,"වෙඩි තියනවා,
ඊතලයකින් විදිනවා,
සැරෙන් වේගයෙන් යනවා/යවනවා,
ඡායාරූප ගන්නවා,
චිත්‍රපට හදනවා","~ someone/something
~ (something) (at someone/something)
~ something (from something)"
shout,/ʃaʊt/,කෑගහනවා,"~ for something
~ at someone (to do something)
~ that..."
show*,/ʃəʊ/,"පෙන්වනවා,
පෙන්වාදෙනවා,
ප්‍රදර්ශනය කරනවා","~ (someone) that
~ (someone) wh-
~ someone something
~ something to someone
~ someone (adv./prep.)"
shrink,/ʃrɪŋk/,ප්‍රමාණයෙන් කුඩා වෙනවා/කරනවා,~ (something)
shut*,/ʃʌt/,"වහනවා,
වැහෙනවා",~ (something)
sigh,/saɪ/,"සුසුමක් හෙලනවා,
හූල්ලනවා",~ (with something)
sign,/saɪn/,"අත්සන් කරනවා,
ඉඟි කරනවා,
සංඥා කරනවා,
ගිවිසුම් ගහනවා","~ (something)
~ (to/for someone) (to do something)
~ that...
~ someone
~ for something
~ with something"
signal,/ˈsɪɡnəl/,සංඥා කරනවා,"~ (to someone) (for something)
~ to/for someone (to do something)
~ someone to do something
~ something
~ that...
~ wh-"
sing*,/sɪŋ/,"ගයනා කරනවා,
සින්දු කියනවා","~ someone something
~ (something) (to someone)"
sink*,/sɪŋk/,"ගිලෙනවා,
(නැවක්/බෝට්ටුවක්) ගිල්වනවා",~ (something) (adv./prep.)
sip,/sɪp/,හෙමින් හෙමින් බොනවා (තොල ගානවා),~ (at) something
sit*,/sɪt/,"වාඩි වෙනවා,
වාඩි කරනවා,
විභාගයකට පෙනී සිටිනවා","~ (someone) (adv./prep.)
~ something"
skip,/skɪp/,"පැන පැන යනවා,
(කොටසක්) මගහරිනවා","~ (adv./prep.)
~ something
~ over something
~ to something"
sleep*,/sliːp/,නිදා ගන්නවා,~ (adv./prep.)
slide*,/slaɪd/,ලිස්සා යනවා/යවනවා,~ (something) (adv./prep.)
slip,/slɪp/,"ලිස්සා යනවා,
ලිස්සා වැටෙනවා","~ (adv./prep.)
~ (over)"
