Verb,Pronunciation,SinhalaMeanings,Usage
take*,/teɪk/,"අරගෙන යනවා,
ගන්නවා,
එක්කගෙන යනවා,
බාරගන්නවා etc.","~ something (with someone)
~ something (to someone/something)
~ someone (to something)
~ someone doing something
~ someone to do something
~ someone/something (adv./prep.)
~ something/someone (from someone/something)
~ something (as something)
~ someone/something (as someone/something)"
talk,/tɔːk/,"කතා කරනවා,
කතාවෙන් නම්මා ගන්නවා","~ (to/with someone) (about something/someone)
~ of someone/something
~ someone into/out of something"
tap,/tæp/,(ඇඟිල්ලෙන්) තට්ටු කරනවා,"~ (at something)
~ (something) on something"
target,/ˈtɑːɡɪt/,ඉලක්ක කරනවා,~ someone/something [P.V.]
taste,/teɪst/,"(අහාරයක) කිසියම් රසක් තියෙනවා,
රස බලනවා","~ + adj.
~ of something
~ like something
~ something"
teach*,/tiːtʃ/,"උගන්වනවා,
යමක් කියා දෙනවා","~ something (to someone)
~ someone something
~ (someone to do) something
~ someone (that)
~ someone (wh-)"
tear*,/teə(r)/,"ඉරනවා/ඉරාගන්නවා,
වේගයෙන් ඇද දමනවා",~ (something) (adv./prep.)
tease,/tiːz/,උසුළු විසුළු කරනවා,~ someone
tell*,/tel/,කියනවා,"~ something to someone
~ someone something
~ someone that
~ wh-"
tend,/tend/,"යමක් කරන්නට නැඹුරු වෙනවා,
සාත්තු කරනවා,
රැක බලා ගන්නවා","~ to do something
~ (to) someone/something"
test,/test/,"පරීක්ෂා කර බලනවා,
අත් හදා බලනවා","~ something
~ someone (on something)
~ someone/something (for something)
~ something on someone/something"
text,/tekst/,කෙටි ලිඛිත පණිවිඩයක් යවනවා,"~ (someone) (something)
~ something (to someone)"
thank,/θæŋk/,ස්තුති කරනවා,"~ someone (for something)
~ someone (for doing something)"
think*,/θɪŋk/,"හිතනවා,
කල්පනා කරනවා","~ (that)
~ (wh-)
~ about someone/something"
threaten,/ˈθretn/,තර්ජනය කරනවා,"~ someone (with something)
~ (someone ) that
~ to do something"
throw*,/θrəʊ/,"විසි කරනවා,
දොට්ට දානවා,
බිම ඇද දමනවා","~ (something) (to someone)
~ someone something
~ something (adv./prep.)
~ someone/something + adv./prep."
tie,/taɪ/,ගැට ගහනවා,"~ something (adv./prep.)
~ someone/something to something"
torture,/ˈtɔːtʃə(r)/,දැඩි කායික මානසික වධ හිංසා පමුණුවනවා,~ someone (into doing something)
touch,/tʌtʃ/,"අල්ලනවා,
ස්පර්ශ කරනවා/වෙනවා,
හැඟීම් උපදවනවා",~ someone/something
train,/treɪn/,පුහුණු වෙනවා/කරනවා,"~ (someone/something) (to do something)
~ (someone) (as/in/for something)"
transfer,/trænsˈfɜː(r)/,තැනකින් තැනකට මාරු වෙනවා/කරනවා,~ (someone/something) (from … (to …)
transform,/trænsˈfɔːm/,එක දෙයකින් තවත් දෙයක් බවට හරවනවා,~ someone/something (from something) (into something)
translate,/trænsˈleɪt/,පරිවර්තනය කරනවා/වෙනවා,"~ (something) (from something) (to something)
~ (something) as something
~ (something) (into something)"
transport,/trænˈspɔːt/,(මගීන්/භාණ්ඩ) ප්‍රවාහනය කරනවා,~ someone/something (adv./prep.)
trap,/træp/,(උගුලක) හිර කරගන්නවා/පටලවා ගන්නවා,~ someone/something (adv./prep.)
travel,/ˈtrævl/,"දුර ගමනක් යනවා,
ගමන් කරනවා",~ (something) (adv./prep.)
treat,/triːt/,"සලකනවා,
සත්කාර කරනවා,
බෙහෙත් කරනවා","~ someone/something (with something)
~ someone/something (like/as something)
~ someone for something (with something)"
trip,/trɪp/,"පය පැටලෙනවා/පැටලී වැටෙනවා,
සැහැල්ලුවෙන් පය තබා ඉක්මනින් යනවා","~ (over/on something)
~ adv./prep."
trust,/trʌst/,"විශ්වාස කරනවා,
විශ්වාසයෙන් බාර දෙනවා","~ someone (to do something)
~ (that)
~ someone with someone/something"
try,/traɪ/,"උත්සාහ කරනවා,
අත්හදා බලනවා,
විනිශ්චය/පරීක්ෂා කරනවා","~ to do something
~ something
~ doing something
~ someone/something (for something)"
tug,/tʌɡ/,තදින් අදිනවා,"~ (at/on) something
~ something (adv./prep.)"
turn,/tɜːn/,"හැරෙනවා/හරවනවා,
කැරකෙනවා/කරකනවා","~ (something) (adv./prep.)
~ (something) (into something)"
twist,/twɪst/,"අඹරනවා,
නවනවා","~ something (adv./prep.)
~ something (into something)"
type,/taɪp/,ටයිප් කරනවා,~ (something) (out/in/up)
