Verb,Pronunciation,SinhalaMeanings,Usage
uncover,/ʌnˈkʌvə(r)/,"නිරාවරණය කරනවා,
හෙළිදරව් කරනවා",~ something
undergo*,/ˌʌndəˈɡəʊ/,යම් (කටුක) දෙයක් අත් විඳිනවා,~ something
underline,/ˌʌndəˈlaɪn/,"යටින් ඉරක් අඳිනවා,
අවධාරණය කරනවා","~ something
~ that...
~ wh-"
understand*,/ˌʌndəˈstænd/,"අවබෝධ වෙනවා/කරගන්නවා,
තේරෙනවා/තේරුම් ගන්නවා","~ (something)
~ that...
~ wh-
~ someone doing something"
undertake*,/ˌʌndəˈteɪk/,යමක් කරන්නට බාර ගන්නවා,"~ something
~ to do something"
undo*,/ʌnˈduː,"(බොත්තම්/ගැට ආදිය) ලිහනවා,
වෙනස් කළ දෙයක් පෙර තත්වයට ගන්නවා",~ something
undress,/ʌnˈdres/,ඇදුම් ඉවත් කරනවා,~ (someone)
unfold,/ʌnˈfəʊld/,දිග ඇරෙනවා/අරිනවා,~ (something)
unite,/juˈnaɪt/,"ඒකාබද්ධ වෙනවා/කරනවා,
එක්සත් වෙනවා/කරනවා","~ in something
~ in doing something
~ (behind/against someone/something)
~ (someone/something) (with someone/something)"
unload,/ˌʌnˈləʊd/,"භාණ්ඩ බානවා,
බරක් ඉවත් කරනවා",~ (something) (from something)
unlock,/ˌʌnˈlɒk/,අගුල් අරිනවා,~ something
untie,/ʌnˈtaɪ/,ලිහනවා,~ something
upset*,/ʌpˈset/,"සිත ව්‍යාකුල කරනවා,
(සැලැස්මක්/තත්වයක් ආදිය) අවුල් කරනවා",~ someone
use,/juːz/,"භාවිතා කරනවා,
පාවිච්චි කරනවා","~ something
~ someone"
