Verb,Pronunciation,SinhalaMeanings,Usage
wait,/weɪt/,"රැඳී සිටිනවා,
නැවතී සිටිනවා,
(යමක්/කෙනෙක් වෙනුවෙන්) බලාගෙන ඉන්නවා",~ (adv./prep.) (for someone/something) (to do something)
wake*,/weɪk/,"අවදි වෙනවා/අවදි කරනවා,
ඇහැරෙනවා/ඇහැරවනවා","~ (something) (up)
~ from something (to something)
~ to do something"
walk,/wɔːk/,"ඇවිදිනවා,
අවිද්දනවා,
පයින් ගිහින් අරලනවා","~ (adv./prep.)
~ something
~ someone/something (adv./prep.)"
wander,/ˈwɒndə(r)/,පැහැදිලි අදහසක් නැතිව ඔහේ යනවා,"~ (adv./prep)
~ something"
want,/wɒnt/,අවශ්‍යයි (ඕනෙ),"~ something
~ (someone/something) to do something
~ someone/something doing something
~ someone/something + adj."
warm,/wɔːm/,උණුසම් කරනවා,~ someone/something (up)
warn,/wɔːn/,අනතුරු අඟවනවා,"~ someone
~ (someone) about/against someone/something
~ (someone) of something
~ (someone) that"
wash,/wɒʃ/,සෝදනවා,"~ something
~ something (from something)"
waste,/weɪst,"නාස්ති කරනවා,
නිකරුණේ විනාශ කරනවා","~ something
~ something on someone/something
~ something (in) doing something
~ someone/something as something"
watch,/wɒtʃ/,"නරඹනවා,
බලනවා,
ප්‍රවේසමෙන් සලකා බලනවා,
සෝදිසියෙන් සිටිනවා,
මුර කරනවා","~ someone/something
~ (something) (for something)
~ wh-
~ someone/something doing something
~ someone/something do something
~ over someone/something"
water,/ˈwɔːtə(r)/,"වතුර දානවා,
වතුර ලබා දෙනවා",~ something
wave,/weɪv,"අත වනනවා,
(කොඩි ආදිය) ලෙළ දෙනවා,
රැළි ගැහෙනවා/ගස්සනවා","~ at/to someone
~ something at someone
~ someone something
~ something (to someone)
~ adv./prep.
~ someone/something + adv./prep."
wear*,/weə(r)/,"(ඇඳුම්) අඳිනවා,
(ඇඳුමකින්/කොන්ඩ මෝස්තරයකින්/හිනාවකින්) සැරසෙනවා","~ something
~ something + adj."
weigh,/weɪ/,"යම් බරක් වෙනවා,
බර කිරනවා,
සසඳා බලනවා","~ (+ noun)
~ someone/something
~ something (up)"
welcome,/ˈwelkəm/,(කෙනෙක්/දෙයක්) (සතුටින්) පිළිගන්නවා,"~ (someone)
~ someone (to something)
~ something"
wet*,/wet/,"තෙමනවා,
තෙත් කරනවා",~ something
whisper,/ˈwɪspə(r)/,"සිහින් හඬින් (රහසින්) කියනවා,
කොඳුරනවා,
මුමුණනවා","~ (something) (to someone)
~ (to someone) that
~ (about something)
~ (adv./prep.)"
widen,/ˈwaɪdn/,පුළුල් වෙනවා/කරනවා,"~ (something)
~ (into something)"
wilt,/wɪlt/,"(පැළයක්/මලක්/කොලයක්) මැළ වෙනවා,
පරවී යනවා",
win*,/wɪn/,"දිනනවා/දිනාගන්නවා,
දිනා දෙනවා","~ something
~ at something
~ aginst someone/something
~ something from someone
~ someone something"
wink,/wɪŋk/,ඇහැක් ගහනවා,~ (at someone)
wipe,/waɪp/,"පිහ දානවා,
අතුගා දමනවා","~ something (on something)
~ something with something
~ something (from/off something)
~ something away/off/up"
wish,/wɪʃ/,"ප්‍රර්ථනා කරනවා,
බලාපොරොත්තු වෙනවා","~ (that)
~ someone/something + adj.
~ someone/something + adv./prep.
~ to do something
~ someone something
~ someone/something to do something
~ for something"
withdraw*,/wɪθˈdrɔː/,(යමකින්/යම් සිද්ධියකින්) ඉවත් වෙනවා/කරගන්නවා,"~ (someone/something) (from something)
~ something (from something)"
wither,/ˈwɪðə(r)/,"(පැළයක්/මලක්/කොලයක්) මැළ වෙනවා,
පරවී යනවා",~ (away)
witness,/ˈwɪtnəs/,යමක් සිදුවෙනු දකිනවා,~ something
wonder,/ˈwʌndə(r)/,"කුතුහලයට පත් වෙනවා,
පුදුම වෙනවා","~ wh-
~ (about something)
~ if/whether
~ that...
~ (at something)"
work,/wɜːk/,"වැඩ කරනවා,
වැ
ඩක නිරත වෙනවා,
රැකියාවක් කරනවා,
(යමක්) ක්‍රියා කරවනවා","~ at something
~ on something
~ for someone/something
~ in something
~ with someone
~ as something
~ something
~ against something
~ (something) (adv./prep.)"
worry,/ˈwʌri/,කනස්සල්ලට පත්වෙනවා/පත් කරනවා,"~ about someone/something
~ over someone/something
~ that...
~ someone (about someone/something)
~ someone that
~ someone with something"
wrap,/ræp/,"ඔතනවා,
දවටනවා,
වෙළනවා","~ A (up) (in B)
~ B around A"
wreck,/rek/,"කඩා බිඳ දමනවා,
විනාශ කරනවා",~ something
wrestle,/ˈresl/,පොර බදනවා,"~ with someone/something
~ someone (adv./prep.)
~ to do something"
write*,/raɪt/,ලියනවා,"~ (something)
~ in/on/with something
~ something (on/about something)
~ someone something
~ to someone (that)
~ doing something
~ that...
~ of something"
