Verb,Pronunciation,SinhalaMeanings,Usage
calculate,/ˈkælkjuleɪt/,ගණනය කරනවා,~ something
call,/kɔːl/,"අඬගසනවා,
අමතනවා","~ someone/something
~ someone + noun/adj."
cancel,/ˈkænsl/,අත්හිටුවනවා,~ (something)
capture,/ˈkæptʃə(r)/,යටත් කරගන්නවා,~ someone/something
care,/keə(r)/,"ගණන් ගන්නවා,
සලකනවා","~ about something
~ that..."
carry,/ˈkæri/,"ඔසවාගෙන යනවා,
ගෙන යනවා",~ someone/something
carve,/kɑːv/,"කැටයම් කරනවා,
නෙළනවා",~ something
catch*,/kætʃ/,"අල්ලගන්නවා,
ලෙඩක් බෝකරගන්නවා",~ someone/something
cause,/kɔːz/,හේතුකාරක වෙනවා,"~ something (for someone)
~ someone something"
celebrate,/ˈselɪbreɪt/,සමරනවා,~ something
challenge,/ˈtʃælɪndʒ/,"අභියෝගයට ලක් කරනවා,
අභියෝග කරනවා","~ something
~ someone (to do something)"
change,/tʃeɪndʒ/,වෙනස් වෙනවා/කරනවා,~ (someone/something)
charge,/tʃɑːdʒ/,"අය කරනවා,
විදුලිය ආරෝපණය කරනවා,
පහර දෙනවා,
නඩු පවරනවා","~ something for something
~ someone for something
~ someone something
~ (someone) to do something"
chase,/tʃeɪs/,පස්සෙන් පන්නනවා,~ someone/something
chat,/tʃæt/,පිළිසඳරෙහි යෙදෙනවා,~ to/with someone (about someone/something)
cheat,/tʃiːt/,"රවටනවා,
හොර කරනවා","~ someone/something
~ at something
~ (on someone)"
check,/tʃek/,"තත්වය පරික්ෂා කරනවා,
හරි වැරදි බලනවා",~ someone/something (for something)
cheer,/tʃɪə(r)/,"ඔල්වරසන් දෙනවා,
සතුටු කරනවා",~ (someone)
chew,/tʃuː/,"විකනවා,
හපනවා","~ something
~ on something"
choke,/tʃəʊk/,හුස්ම හිර වෙනවා/කරනවා,"~ (on something)
~ someone"
choose*,/tʃuːz/,තෝරාගන්නවා,"~ (someone/something)
~ wh"
chop,/tʃɒp/,කපා දමනවා,~ something
